# ----------------------------------------,,,,,,,
# www.photo-a-day.org,,,,,,,
# Pages,,,,,,,
# 20050601-20161006,,,,,,,
# ----------------------------------------,,,,,,,
,,,,,,,
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/PhotoDetail.aspx?date=11/09/2013,18,14,0:00:10,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=11/11/2013,18,13,0:00:03,0,0.00%,5.56%,$0.00 
/PhotoDetail.aspx?date=11/16/2013,18,17,0:00:08,0,0.00%,5.56%,$0.00 
/PhotoDetail.aspx?date=11/22/2010,18,18,0:00:29,0,0.00%,16.67%,$0.00 
/PhotoDetail.aspx?date=11/27/2013,18,14,0:00:05,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=11/29/2013,18,17,0:00:26,2,0.00%,5.56%,$0.00 
/PhotoDetail.aspx?date=12/08/2012,18,15,0:00:05,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=12/15/2012,18,17,0:00:08,0,0.00%,27.78%,$0.00 
/PhotoDetail.aspx?date=12/20/2011,18,14,0:01:43,1,100.00%,16.67%,$0.00 
/PhotoDetail.aspx?date=01/01/2012,17,14,0:00:03,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=01/02/2013,17,16,0:00:24,1,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=01/04/2013,17,16,0:01:17,1,0.00%,35.29%,$0.00 
/PhotoDetail.aspx?date=01/06/2011,17,16,0:00:05,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=01/09/2012,17,13,0:00:05,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=01/11/2012,17,15,0:00:03,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=01/12/2011,17,15,0:00:07,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=01/21/2012,17,14,0:00:04,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=01/22/2011,17,15,0:00:11,0,0.00%,29.41%,$0.00 
/PhotoDetail.aspx?date=01/22/2012,17,15,0:00:07,0,0.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=01/24/2012,17,16,0:00:10,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=02/06/2011,17,16,0:00:07,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=02/08/2010,17,17,0:00:56,3,33.33%,17.65%,$0.00 
/PhotoDetail.aspx?date=02/08/2011,17,13,0:00:03,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=02/09/2011,17,15,0:00:09,1,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=02/10/2013,17,17,0:00:06,3,66.67%,35.29%,$0.00 
/PhotoDetail.aspx?date=02/21/2011,17,17,0:00:30,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=02/26/2010,17,15,0:00:04,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=02/27/2010,17,15,0:00:04,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=03/08/2011,17,17,0:00:07,0,0.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=03/08/2012,17,16,0:00:05,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=03/14/2012,17,16,0:00:07,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=03/16/2012,17,16,0:01:04,1,100.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=03/18/2011,17,15,0:00:04,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=03/20/2011,17,15,0:00:04,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=03/20/2012,17,16,0:00:05,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=03/24/2011,17,16,0:00:05,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=04/02/2012,17,16,0:00:05,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=04/04/2013,17,16,0:01:13,2,100.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=04/05/2011,17,16,0:00:07,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=04/08/2011,17,16,0:00:05,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=04/19/2011,17,15,0:00:06,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=04/29/2011,17,17,0:00:10,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=05/10/2011,17,17,0:00:05,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=05/25/2013,17,16,0:01:46,7,100.00%,47.06%,$0.00 
/PhotoDetail.aspx?date=05/26/2010,17,14,0:01:17,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=05/27/2010,17,15,0:00:03,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=05/30/2011,17,16,0:00:06,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=05/31/2011,17,16,0:00:04,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=06/01/2013,17,15,0:01:58,0,0.00%,52.94%,$0.00 
/PhotoDetail.aspx?date=06/03/2012,17,13,0:00:04,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=06/09/2005,17,14,0:00:04,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=06/26/2010,17,17,0:00:09,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=07/01/2013,17,14,0:00:10,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=07/03/2011,17,16,0:00:07,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=07/06/2012,17,13,0:00:03,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=07/08/2012,17,16,0:00:05,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=07/11/2012,17,16,0:00:33,2,50.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=07/12/2013,17,15,0:00:12,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=07/17/2011,17,17,0:00:05,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=07/25/2013,17,15,0:00:05,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=07/30/2013,17,15,0:00:06,1,100.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=08/04/2012,17,16,0:01:06,1,100.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=08/04/2013,17,16,0:00:05,0,0.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=08/05/2013,17,16,0:00:09,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=08/11/2012,17,13,0:02:24,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=08/13/2013,17,15,0:00:10,2,100.00%,29.41%,$0.00 
/PhotoDetail.aspx?date=08/23/2012,17,14,0:00:11,0,0.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=08/26/2012,17,15,0:00:05,0,0.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=09/02/2011,17,15,0:00:52,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=09/04/2010,17,16,0:00:03,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=09/14/2012,17,16,0:00:09,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=09/20/2012,17,13,0:00:04,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=09/25/2011,17,16,0:00:03,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=09/29/2012,17,15,0:00:05,0,0.00%,29.41%,$0.00 
/PhotoDetail.aspx?date=10/04/2013,17,16,0:00:06,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=10/07/2010,17,17,0:00:05,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=10/11/2013,17,16,0:00:07,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=10/15/2013,17,14,0:00:06,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=10/16/2012,17,17,0:00:06,0,0.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=10/19/2010,17,16,0:00:05,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=10/22/2011,17,14,0:00:55,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=10/26/2010,17,16,0:00:17,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=10/30/2011,17,16,0:00:03,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=10/31/2012,17,16,0:00:07,0,0.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=11/02/2012,17,14,0:00:08,0,0.00%,29.41%,$0.00 
/PhotoDetail.aspx?date=11/07/2011,17,15,0:00:04,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=11/07/2012,17,16,0:00:26,0,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=11/16/2010,17,17,0:00:05,0,0.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=11/22/2013,17,16,0:00:06,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=11/26/2010,17,17,0:00:06,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=11/27/2010,17,17,0:00:03,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=12/04/2011,17,15,0:00:12,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=12/12/2011,17,14,0:01:03,1,100.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=12/21/2010,17,17,0:00:09,0,0.00%,23.53%,$0.00 
/PhotoDetail.aspx?date=12/31/2011,17,15,0:00:04,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=01/01/2013,16,15,0:00:06,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=01/05/2011,16,15,0:00:11,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=01/15/2011,16,16,0:00:42,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=01/26/2013,16,14,0:00:40,1,100.00%,31.25%,$0.00 
/PhotoDetail.aspx?date=01/29/2011,16,16,0:00:06,0,0.00%,31.25%,$0.00 
/PhotoDetail.aspx?date=01/31/2011,16,15,0:00:06,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=01/31/2010,16,13,0:00:06,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=02/05/2012,16,12,0:00:04,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=02/08/2014,16,8,0:00:06,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=02/19/2011,16,14,0:01:17,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=03/02/2012,16,16,0:00:04,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=03/08/2013,16,12,0:01:52,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=03/12/2012,16,14,0:00:04,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=03/19/2012,16,15,0:00:04,1,100.00%,25.00%,$0.00 
/PhotoDetail.aspx?date=03/26/2011,16,16,0:00:03,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=03/29/2011,16,15,0:00:06,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=03/30/2012,16,14,0:00:07,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=03/08/2010,16,15,0:00:16,1,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=04/03/2012,16,14,0:00:04,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=04/08/2012,16,16,0:00:07,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=04/11/2012,16,16,0:00:03,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=04/12/2012,16,16,0:00:03,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=04/14/2011,16,15,0:00:09,0,0.00%,25.00%,$0.00 
/PhotoDetail.aspx?date=04/18/2011,16,13,0:00:20,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=04/18/2012,16,14,0:00:05,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=04/21/2011,16,16,0:00:10,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=04/22/2012,16,11,0:00:04,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=04/27/2011,16,15,0:00:04,0,0.00%,31.25%,$0.00 
/PhotoDetail.aspx?date=04/28/2011,16,15,0:00:04,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=05/04/2013,16,15,0:00:09,4,100.00%,37.50%,$0.00 
/PhotoDetail.aspx?date=05/19/2011,16,16,0:00:08,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=05/22/2011,16,14,0:00:04,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=05/29/2011,16,15,0:00:05,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=06/04/2012,16,13,0:00:05,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=06/15/2010,16,16,0:00:05,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=06/16/2012,16,11,0:00:05,1,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=06/22/2010,16,16,0:00:03,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=06/24/2011,16,16,0:00:04,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=06/24/2012,16,14,0:00:04,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=06/27/2010,16,16,0:00:05,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=06/30/2011,16,16,0:00:06,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=07/01/2011,16,15,0:00:04,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=07/02/2011,16,14,0:00:04,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=07/22/2013,16,14,0:00:53,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=08/06/2012,16,14,0:00:05,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=08/11/2013,16,16,0:00:07,0,0.00%,31.25%,$0.00 
/PhotoDetail.aspx?date=08/15/2013,16,15,0:01:02,1,100.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=08/17/2012,16,12,0:00:05,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=08/21/2012,16,12,0:00:09,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=08/27/2011,16,13,0:00:42,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=09/04/2013,16,15,0:00:08,1,100.00%,25.00%,$0.00 
/PhotoDetail.aspx?date=09/22/2012,16,11,0:00:11,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=09/23/2012,16,11,0:01:26,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=09/24/2012,16,13,0:00:05,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=09/26/2011,16,15,0:00:03,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=10/02/2013,16,16,0:00:05,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=10/05/2010,16,16,0:00:10,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=10/06/2010,16,16,0:00:04,0,0.00%,25.00%,$0.00 
/PhotoDetail.aspx?date=10/12/2011,16,14,0:00:07,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=10/12/2012,16,14,0:00:06,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=10/12/2013,16,15,0:00:08,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=10/21/2011,16,12,0:00:06,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=10/25/2012,16,14,0:00:07,0,0.00%,25.00%,$0.00 
/PhotoDetail.aspx?date=10/31/2010,16,15,0:00:09,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=11/05/2010,16,15,0:00:05,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=11/08/2011,16,13,0:00:04,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=11/09/2011,16,14,0:00:57,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=11/17/2010,16,16,0:00:05,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=11/18/2010,16,16,0:00:04,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=11/19/2010,16,16,0:00:04,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=11/28/2013,16,15,0:00:06,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=12/16/2011,16,16,0:00:27,1,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=12/23/2010,16,15,0:00:06,1,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=12/23/2011,16,14,0:00:06,0,0.00%,25.00%,$0.00 
/PhotoDetail.aspx?date=12/24/2010,16,15,0:00:07,0,0.00%,18.75%,$0.00 
/PhotoDetail.aspx?date=12/25/2010,16,16,0:00:05,0,0.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=12/28/2011,16,14,0:00:03,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=12/29/2010,16,15,0:00:26,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=12/27/2009,16,15,0:00:09,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=01/16/2013,15,14,0:01:49,1,100.00%,26.67%,$0.00 
/PhotoDetail.aspx?date=01/20/2012,15,13,0:01:14,1,100.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=01/23/2011,15,14,0:00:04,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=01/25/2011,15,14,0:00:07,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=01/30/2010,15,13,0:00:43,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=02/04/2010,15,15,0:00:07,5,40.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=02/07/2013,15,13,0:00:09,0,0.00%,40.00%,$0.00 
/PhotoDetail.aspx?date=02/10/2010,15,15,0:00:06,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=02/10/2012,15,14,0:00:04,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=02/10/2014,15,10,0:01:47,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=02/15/2011,15,14,0:00:06,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=02/18/2010,15,14,0:00:04,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=02/18/2012,15,12,0:00:12,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=02/21/2010,15,14,0:00:12,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=02/22/2012,15,12,0:00:28,1,100.00%,26.67%,$0.00 
/PhotoDetail.aspx?date=02/28/2010,15,13,0:00:05,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=02/28/2011,15,15,0:00:05,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=03/04/2011,15,15,0:00:04,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=03/05/2011,15,15,0:00:03,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=03/05/2012,15,15,0:00:04,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=03/07/2011,15,15,0:00:08,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=03/10/2013,15,13,0:00:59,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=03/17/2012,15,14,0:00:13,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=03/18/2012,15,15,0:00:08,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=03/19/2014,15,11,0:00:09,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=03/22/2011,15,14,0:00:05,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=03/25/2012,15,14,0:00:03,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=03/26/2012,15,14,0:00:04,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=03/29/2012,15,15,0:00:04,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=04/05/2012,15,15,0:00:02,0,0.00%,26.67%,$0.00 
/PhotoDetail.aspx?date=04/09/2012,15,15,0:01:45,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=04/19/2012,15,14,0:00:04,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=04/21/2012,15,12,0:00:10,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=04/23/2012,15,11,0:00:04,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=04/25/2011,15,15,0:00:08,0,0.00%,33.33%,$0.00 
/PhotoDetail.aspx?date=04/26/2012,15,14,0:00:11,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=04/27/2013,15,13,0:00:15,3,66.67%,26.67%,$0.00 
/PhotoDetail.aspx?date=04/28/2013,15,12,0:00:11,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=05/05/2012,15,13,0:00:05,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=05/07/2012,15,14,0:00:11,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=05/18/2012,15,15,0:00:07,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=05/20/2011,15,15,0:00:04,1,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=05/23/2011,15,14,0:00:04,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=05/27/2013,15,12,0:00:29,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=06/01/2012,15,13,0:00:08,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=06/08/2012,15,15,0:00:06,4,100.00%,46.67%,$0.00 
/PhotoDetail.aspx?date=06/13/2012,15,14,0:00:24,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=06/17/2013,15,15,0:00:06,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=06/19/2013,15,14,0:00:06,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=06/25/2011,15,15,0:00:05,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=06/25/2012,15,13,0:01:28,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=06/29/2012,15,15,0:00:16,1,100.00%,33.33%,$0.00 
/PhotoDetail.aspx?date=07/13/2013,15,13,0:00:07,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=07/14/2013,15,15,0:00:10,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=07/15/2011,15,14,0:01:02,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=07/15/2013,15,13,0:01:25,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=07/21/2012,15,12,0:00:29,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=07/24/2013,15,14,0:00:07,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=07/25/2011,15,14,0:00:04,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=07/26/2013,15,13,0:01:04,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=07/27/2013,15,15,0:00:08,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=07/29/2013,15,14,0:00:05,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=08/01/2012,15,15,0:00:06,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=08/03/2013,15,14,0:00:38,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=08/07/2012,15,14,0:00:09,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=08/19/2011,15,14,0:00:09,0,0.00%,26.67%,$0.00 
/PhotoDetail.aspx?date=08/23/2013,15,13,0:00:37,1,100.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=08/24/2011,15,15,0:00:08,3,100.00%,26.67%,$0.00 
/PhotoDetail.aspx?date=08/25/2012,15,12,0:00:02,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=08/31/2010,15,14,0:00:04,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=09/02/2013,15,12,0:00:15,1,100.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=09/03/2012,15,14,0:00:06,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=09/03/2013,15,13,0:00:09,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=09/04/2012,15,15,0:02:17,0,0.00%,26.67%,$0.00 
/PhotoDetail.aspx?date=09/13/2012,15,15,0:00:05,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=09/16/2012,15,11,0:00:09,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=09/23/2011,15,14,0:00:05,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=10/03/2013,15,14,0:00:06,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=10/07/2013,15,15,0:00:11,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=10/09/2013,15,14,0:00:06,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=10/17/2012,15,15,0:00:06,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=10/20/2010,15,13,0:00:04,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=10/20/2011,15,12,0:00:04,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=10/23/2011,15,12,0:00:14,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=10/25/2010,15,15,0:00:03,0,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=10/27/2010,15,13,0:00:04,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=11/03/2013,15,14,0:00:05,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=11/05/2012,15,14,0:00:04,1,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=11/06/2013,15,13,0:00:04,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=11/08/2013,15,11,0:00:28,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=11/17/2013,15,15,0:00:05,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=11/20/2011,15,12,0:00:05,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=11/24/2012,15,13,0:00:09,1,100.00%,26.67%,$0.00 
/PhotoDetail.aspx?date=11/25/2013,15,15,0:00:05,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=12/01/2011,15,15,0:00:04,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=12/04/2012,15,12,0:00:03,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=12/06/2011,15,14,0:00:42,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=12/07/2011,15,15,0:00:03,0,0.00%,26.67%,$0.00 
/PhotoDetail.aspx?date=12/13/2012,15,15,0:00:51,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=12/16/2012,15,13,0:00:12,1,0.00%,20.00%,$0.00 
/PhotoDetail.aspx?date=12/17/2010,15,15,0:00:19,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=12/19/2010,15,15,0:00:05,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=12/21/2011,15,12,0:00:07,0,0.00%,13.33%,$0.00 
